300	0	75	283
300	533	75	67
600	0	75	199
600	449	75	151
800	0	75	291
800	541	75	59
1100	0	75	327
1100	577	75	23
1400	0	75	219
1400	469	75	131
1700	0	75	346
1700	596	75	4
2000	0	75	343
2000	593	75	7
2300	0	75	283
2300	533	75	67
2600	0	75	106
2600	356	75	244
2900	0	75	83
2900	333	75	267
3200	0	75	163
3200	413	75	187
3500	0	75	278
3500	528	75	72
3800	0	75	295
3800	545	75	55
4100	0	75	262
4100	512	75	88
4400	0	75	259
4400	509	75	91
4700	0	75	258
4700	508	75	92
5000	0	75	236
5000	486	75	114
5300	0	75	115
5300	365	75	235
5600	0	75	199
5600	449	75	151
5900	0	75	54
5900	304	75	296
6200	0	75	89
6200	339	75	261
6500	0	75	83
6500	333	75	267
6800	0	75	233
6800	483	75	117
7100	0	75	132
7100	382	75	218
7400	0	75	297
7400	547	75	53
7700	0	75	107
7700	327	75	273
8000	0	75	264
8000	484	75	116
8300	0	75	164
8300	384	75	216
8600	0	75	139
8600	359	75	241
8900	0	75	161
8900	381	75	219
9200	0	75	345
9200	565	75	35
9500	0	75	95
9500	315	75	285
9800	0	75	316
9800	536	75	64
10100	0	75	109
10100	329	75	271
10400	0	75	177
10400	397	75	203
10700	0	75	341
10700	561	75	39
11000	0	75	235
11000	455	75	145
11300	0	75	228
11300	448	75	152
11600	0	75	233
11600	453	75	147
11900	0	75	244
11900	464	75	136
12200	0	75	258
12200	478	75	122
12500	0	75	200
12500	420	75	180
12800	0	75	237
12800	457	75	143
13100	0	75	128
13100	348	75	252
13400	0	75	72
13400	292	75	308
13700	0	75	63
13700	283	75	317
14000	0	75	189
14000	409	75	191
14300	0	75	142
14300	362	75	238
14600	0	75	60
14600	280	75	320
14900	0	75	154
14900	374	75	226
15200	0	75	274
15200	464	75	136
15500	0	75	144
15500	334	75	266
15800	0	75	340
15800	530	75	70
16100	0	75	244
16100	434	75	166
16400	0	75	261
16400	451	75	149
16700	0	75	113
16700	303	75	297
17000	0	75	107
17000	297	75	303
17300	0	75	186
17300	376	75	224
17600	0	75	346
17600	536	75	64
17900	0	75	90
17900	280	75	320
18200	0	75	251
18200	441	75	159
18500	0	75	111
18500	301	75	299
18800	0	75	59
18800	249	75	351
19100	0	75	105
19100	295	75	305
19400	0	75	256
19400	446	75	154
19700	0	75	160
19700	350	75	250
20000	0	75	259
20000	449	75	151
20300	0	75	193
20300	383	75	217
20600	0	75	129
20600	319	75	281
20900	0	75	132
20900	322	75	278
21200	0	75	285
21200	475	75	125
21500	0	75	76
21500	266	75	334
21800	0	75	156
21800	346	75	254
22100	0	75	74
22100	264	75	336
22400	0	75	92
22400	282	75	318
22700	0	75	182
22700	342	75	258
23000	0	75	135
23000	295	75	305
23300	0	75	99
23300	259	75	341
23600	0	75	110
23600	270	75	330
23900	0	75	211
23900	371	75	229
24200	0	75	274
24200	434	75	166
24500	0	75	150
24500	310	75	290
24800	0	75	285
24800	445	75	155
25100	0	75	295
25100	455	75	145
25400	0	75	76
25400	236	75	364
25700	0	75	297
25700	457	75	143
26000	0	75	148
26000	308	75	292
26300	0	75	306
26300	466	75	134
26600	0	75	251
26600	411	75	189
26900	0	75	79
26900	239	75	361
27200	0	75	163
27200	323	75	277
27500	0	75	223
27500	383	75	217
27800	0	75	312
27800	472	75	128
28100	0	75	281
28100	441	75	159
28400	0	75	216
28400	376	75	224
28700	0	75	223
28700	383	75	217
29000	0	75	151
29000	311	75	289
29300	0	75	160
29300	320	75	280
29600	0	75	259
29600	419	75	181
29900	0	75	287
29900	447	75	153
30200	0	75	236
30200	366	75	234
30500	0	75	149
30500	279	75	321
30800	0	75	168
30800	298	75	302
31100	0	75	213
31100	343	75	257
31400	0	75	199
31400	329	75	271
31700	0	75	192
31700	322	75	278
32000	0	75	165
32000	295	75	305
32300	0	75	56
32300	186	75	414
32600	0	75	319
32600	449	75	151
32900	0	75	224
32900	354	75	246
33200	0	75	137
33200	267	75	333
33500	0	75	181
33500	311	75	289
33800	0	75	286
33800	416	75	184
34100	0	75	196
34100	326	75	274
34400	0	75	186
34400	316	75	284
34700	0	75	194
34700	324	75	276
35000	0	75	292
35000	422	75	178
35300	0	75	177
35300	307	75	293
35600	0	75	132
35600	262	75	338
35900	0	75	254
35900	384	75	216
36200	0	75	165
36200	295	75	305
36500	0	75	89
36500	219	75	381
36800	0	75	141
36800	271	75	329
37100	0	75	113
37100	243	75	357
37400	0	75	342
37400	472	75	128
37700	0	75	69
37700	169	75	431
38000	0	75	81
38000	181	75	419
38300	0	75	271
38300	371	75	229
38600	0	75	333
38600	433	75	167
38900	0	75	324
38900	424	75	176
39200	0	75	227
39200	327	75	273
39500	0	75	106
39500	206	75	394
39800	0	75	333
39800	433	75	167
40100	0	75	56
40100	156	75	444
40400	0	75	105
40400	205	75	395
40700	0	75	119
40700	219	75	381
41000	0	75	299
41000	399	75	201
41300	0	75	270
41300	370	75	230
41600	0	75	143
41600	243	75	357
41900	0	75	203
41900	303	75	297
42200	0	75	68
42200	168	75	432
42500	0	75	224
42500	324	75	276
42800	0	75	292
42800	392	75	208
43100	0	75	261
43100	361	75	239
43400	0	75	206
43400	306	75	294
43700	0	75	165
43700	265	75	335
44000	0	75	172
44000	272	75	328
44300	0	75	298
44300	398	75	202
44600	0	75	164
44600	264	75	336
44900	0	75	71
44900	171	75	429
45200	0	75	216
45200	316	75	284
45500	0	75	226
45500	326	75	274
